SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
GAMON,818,ALLSHR,21.0,20.06,21.0,19.75,20.62,-0.38,-0.0181,4849
PRWM,831,ALLSHR,76.72,73.56,78.0,73.55,73.75,-2.97,-0.0387,4627
SHEZ,810,ALLSHR,250.11,250.02,264.97,236.0,236.41,-13.7,-0.0548,4326
PAKL,816,ALLSHR,57.59,54.54,59.0,53.25,57.37,-0.22,-0.0038,4174
THALL,802,"ALLSHR,KSE100,KSE100PR",601.22,597.01,605.99,590.0,595.0,-6.22,-0.0103,3967
MFFL,810,"ALLSHR,KMIALLSHR",178.04,176.0,176.98,169.01,169.6,-8.44,-0.0474,3851
NSRM,827,"ALLSHR,KMIALLSHR",193.54,195.0,205.01,192.99,204.51,10.97,0.0567,3850
FCIBL,813,ALLSHR,34.89,32.21,35.0,32.21,33.5,-1.39,-0.0398,3673
REWM,829,"ALLSHR,KMIALLSHR",190.9,176.0,183.71,171.81,173.13,-17.77,-0.0931,3302
PIM,819,"ALLSHR,KMIALLSHR",24.19,22.32,24.16,22.01,22.9,-1.29,-0.0533,3296
BELA,802,ALLSHR,59.31,60.0,60.0,56.1,58.38,-0.93,-0.0157,2945
EFUL,812,ALLSHR,156.1,155.01,157.95,154.01,155.0,-1.1,-0.007,2944
PAKOXY,805,"ALLSHR,KMIALLSHR",298.0,297.0,297.0,283.0,286.94,-11.06,-0.0371,2906
PMRS,826,"ALLSHR,KMIALLSHR",580.53,580.0,580.0,550.0,550.1,-30.43,-0.0524,2822
FZCM,829,"ALLSHR,KMIALLSHR",251.75,259.9,264.98,245.0,245.48,-6.27,-0.0249,2737
GEMBCEM,819,"ALLSHR,KMIALLSHR",13.24,14.39,14.5,14.39,14.45,1.21,0.0914,2699
BAFS,826,"ALLSHR,KMIALLSHR",395.99,367.01,394.99,367.0,392.01,-3.98,-0.01,2660
EFUG,812,ALLSHR,122.54,122.3,124.25,121.81,122.01,-0.53,-0.0043,2508
GVGL,811,"ALLSHR,KMIALLSHR",55.14,55.0,55.0,54.0,54.68,-0.46,-0.0083,2492
DADX,808,"ALLSHR,KMIALLSHR",96.51,90.1,93.98,89.01,93.98,-2.53,-0.0262,2402
PPVC,805,ALLSHR,29.0,29.5,29.5,26.86,26.89,-2.11,-0.0728,2334
DMC,830,"ALLSHR,KMIALLSHR",187.26,195.0,203.98,190.0,199.06,11.8,0.063,2257
ASHT,831,"ALLSHR,KMIALLSHR",34.71,34.71,35.5,33.1,33.93,-0.78,-0.0225,2224
DINT,830,"ALLSHR,KMIALLSHR",74.32,74.34,74.51,72.56,74.33,0.01,0.0001,2218
TSML,826,ALLSHR,695.59,656.0,745.0,656.0,717.5,21.91,0.0315,2147
HUSI,838,ALLSHR,52.06,50.11,52.69,50.06,50.2,-1.86,-0.0357,1958
BATA,816,"ALLSHR,KMIALLSHR",984.29,979.0,979.01,960.0,963.95,-20.34,-0.0207,1794
ASLPS,808,ALLSHR,22.4,24.6,24.64,20.16,20.46,-1.94,-0.0866,1741
TPLL,812,ALLSHR,24.56,22.69,24.0,22.69,22.73,-1.83,-0.0745,1726
ARMG,813,ALLSHR,66.05,71.91,71.91,63.1,70.59,4.54,0.0687,1726
POML,834,"ALLSHR,KMIALLSHR",170.18,161.0,168.0,161.0,163.71,-6.47,-0.038,1614
DAAG,805,"ALLSHR,KMIALLSHR",91.91,94.8,94.8,87.5,87.52,-4.39,-0.0478,1317
CENI,812,ALLSHR,54.0,52.01,53.25,52.01,52.86,-1.14,-0.0211,1315
ELCM,830,"ALLSHR,KMIALLSHR",250.0,235.0,235.0,225.0,225.36,-24.64,-0.0986,1230
AKGL,818,"ALLSHR,KMIALLSHR",53.08,48.2,50.0,48.2,49.95,-3.13,-0.059,1070
IBFL,827,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",342.82,342.0,342.0,323.26,328.67,-14.15,-0.0413,1032
SIBL,813,ALLSHR,7.22,7.28,7.28,7.0,7.0,-0.22,-0.0305,1002
SHCM,830,"ALLSHR,KMIALLSHR",47.91,46.01,46.01,46.01,46.01,-1.9,-0.0397,1001
INKL,839,"ALLSHR,KMIALLSHR",96.23,96.2,96.39,92.0,94.1,-2.13,-0.0221,981
ELSM,830,"ALLSHR,KMIALLSHR",125.06,115.1,125.0,113.25,113.32,-11.74,-0.0939,932
ARPAK,818,ALLSHR,137.22,131.0,140.0,131.0,138.39,1.17,0.0085,844
PSEL,818,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",912.41,924.89,924.99,905.02,906.28,-6.13,-0.0067,842
TICL,826,"ALLSHR,KMIALLSHR",1000.35,962.03,1000.0,921.0,957.78,-42.57,-0.0426,801
FIMM,819,"ALLSHR,KMIALLSHR",217.82,217.0,217.0,197.1,199.98,-17.84,-0.0819,649
SUHJ,814,"ALLSHR,KMIALLSHR",170.11,159.01,180.0,159.0,168.26,-1.85,-0.0109,644
ZIL,810,"ALLSHR,KMIALLSHR",370.03,371.0,371.0,340.0,353.67,-16.36,-0.0442,641
POWERPS,804,ALLSHR,29.29,30.0,30.0,26.36,26.38,-2.91,-0.0993,562
ISIL,810,"ALLSHR,KMIALLSHR",1917.62,1903.0,1939.9,1902.0,1936.79,19.17,0.01,556
SASML,826,"ALLSHR,KMIALLSHR",386.97,386.97,386.97,360.03,374.0,-12.97,-0.0335,495
