SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
SSOM,834,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",481.94,484.0,495.0,484.0,485.38,3.44,0.71%,8560
DWSM,826,ALLSHR,5.09,5.12,5.24,5.1,5.19,0.1,1.97%,8369
HAEL,829,"ALLSHR,KMIALLSHR",16.26,16.13,16.94,16.0,16.0,-0.26,-1.60%,7962
EFUL,812,ALLSHR,140.39,142.0,150.0,136.1,145.26,4.87,3.47%,7752
KML,829,"ALLSHR,KMIALLSHR",8.38,8.5,8.5,8.25,8.34,-0.04,-0.48%,7748
DNCC,804,"ALLSHR,KMIALLSHR",16.17,16.93,17.29,16.51,16.61,0.44,2.72%,7730
PCAL,803,ALLSHR,149.65,150.99,150.99,147.01,150.0,0.35,0.23%,7577
SURC,829,"ALLSHR,KMIALLSHR",105.75,116.3,116.33,110.0,116.33,10.58,10.01%,7385
FECM,819,"ALLSHR,KMIALLSHR",15.13,16.36,16.36,14.9,15.05,-0.08,-0.53%,7360
EFUG,812,ALLSHR,123.24,129.88,129.88,119.02,121.34,-1.9,-1.54%,7323
