SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
IMS,813,ALLSHR,16.27,16.96,16.96,15.8,15.91,-0.36,-2.21%,60344
ABL,807,"ALLSHR,KSE100,KSE100PR",171.42,171.01,172.0,170.0,170.02,-1.4,-0.82%,59841
MTL,801,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,MII30,PSXDIV20",497.0,498.0,498.0,491.77,493.08,-3.92,-0.79%,59816
KOHP,824,ALLSHR,23.52,23.0,23.4,21.5,22.15,-1.37,-5.82%,59664
CLCPS,829,ALLSHR,2.8,2.99,2.99,2.7,2.87,0.07,2.50%,58057
HIFA,806,ALLSHR,4.7,4.7,4.8,4.65,4.65,-0.05,-1.06%,57273
GATI,827,"ALLSHR,KMIALLSHR",75.52,75.52,78.25,75.0,75.83,0.31,0.41%,54961
GFIL,829,"ALLSHR,KMIALLSHR",19.21,19.19,21.1,18.3,20.86,1.65,8.59%,54869
ECOP,818,"ALLSHR,KMIALLSHR",38.17,38.17,38.17,36.8,37.45,-0.72,-1.89%,54762
AHL,813,ALLSHR,88.97,88.5,88.5,84.6,84.99,-3.98,-4.47%,54675
HIRAT,830,ALLSHR,3.45,3.32,3.42,3.31,3.35,-0.1,-2.90%,52968
DNCC,804,"ALLSHR,KMIALLSHR",17.43,17.2,17.95,16.7,16.88,-0.55,-3.15%,52102
NICL,805,ALLSHR,152.09,153.0,153.0,148.0,149.99,-2.1,-1.38%,50460
MFL,810,"ALLSHR,KMIALLSHR",51.13,51.13,51.5,49.5,49.59,-1.54,-3.01%,48572
BCL,808,"ALLSHR,KMIALLSHR",59.52,60.0,61.35,58.04,58.71,-0.81,-1.36%,44857
STYLERS,829,"ALLSHR,KMIALLSHR",47.13,47.13,48.5,45.0,46.85,-0.28,-0.59%,42885
JSGBETF,837,,35.29,34.5,35.4,34.4,34.54,-0.75,-2.12%,39500
GUSM,830,ALLSHR,6.33,6.35,7.33,5.67,6.31,-0.02,-0.32%,39453
SCBPL,807,"ALLSHR,KSE100,KSE100PR",64.17,64.98,64.98,63.0,63.01,-1.16,-1.81%,39192
